Product_ID,Product_Name,Category,Price,Discount,Promotion,Sales_Volume,Season,Customer_Age,Customer_Gender,Store_Location,Marketing_Channel,Day_of_Week,Month,Stock_Availability,Competitor_Price,Customer_Loyalty
58,Shirt,Accessories,122.96,0.26,Buy1Get1,61,Winter,61,Male,City,Online,Saturday,December,In Stock,99.6,1
59,Shorts,Footwear,154.81,0.4,Buy1Get1,417,Fall,18,Female,Rural,Email,Thursday,October,In Stock,275.31,1
60,Shirt,Accessories,249.39,0.37,20%Off,492,Winter,19,Male,Rural,Social Media,Monday,June,In Stock,185.65,0
61,Shoe,Footwear,273.71,0.04,SeasonalSale,192,Summer,39,Female,City,Email,Saturday,June,In Stock,271.52,1
62,Ball,Footwear,119.57,0.0,SeasonalSale,415,Spring,40,Female,Suburban,TV,Sunday,July,Out of Stock,13.26,1
63,Shorts,Footwear,133.24,0.19,Clearance,412,Winter,25,Female,City,Social Media,Sunday,July,Low Stock,113.48,1
64,Hat,Equipment,237.51,0.32,None,122,Winter,21,Female,Rural,Online,Saturday,December,Low Stock,182.65,0
65,Hat,Apparel,131.66,0.46,Buy1Get1,118,Winter,55,Male,Suburban,Online,Friday,June,Low Stock,286.73,1
66,Shirt,Footwear,255.78,0.46,None,465,Spring,58,Female,City,Social Media,Saturday,August,Low Stock,116.44,0
67,Shorts,Footwear,69.24,0.38,SeasonalSale,366,Spring,21,Female,Rural,In-Store,Saturday,February,In Stock,10.32,1
68,Hat,Footwear,144.01,0.27,None,415,Spring,23,Female,City,In-Store,Friday,August,Low Stock,41.18,1
69,Hat,Apparel,206.68,0.3,Clearance,142,Winter,49,Female,Rural,Social Media,Wednesday,September,Low Stock,24.69,1
70,Shirt,Accessories,28.2,0.5,None,434,Spring,49,Female,City,Online,Friday,November,In Stock,88.23,1
71,Shorts,Equipment,291.66,0.4,20%Off,397,Spring,48,Female,Suburban,Social Media,Tuesday,November,In Stock,54.58,0
72,Bag,Footwear,122.66,0.04,None,324,Spring,19,Male,Suburban,Email,Sunday,March,Out of Stock,38.68,1
73,Shorts,Apparel,115.33,0.16,None,127,Spring,25,Female,Rural,Email,Tuesday,November,Out of Stock,14.35,0
74,Gloves,Equipment,198.34,0.21,20%Off,78,Spring,33,Male,City,Email,Saturday,September,Low Stock,125.48,0
75,Hat,Equipment,286.22,0.24,Clearance,25,Spring,40,Female,City,TV,Monday,February,Out of Stock,161.41,1
76,Ball,Apparel,83.16,0.19,Buy1Get1,288,Fall,33,Male,Suburban,In-Store,Monday,June,Low Stock,95.02,1
77,Shirt,Accessories,190.68,0.31,SeasonalSale,359,Spring,50,Female,Rural,Online,Sunday,August,Out of Stock,154.52,1
78,Shorts,Equipment,39.45,0.46,Buy1Get1,462,Fall,27,Female,Suburban,In-Store,Wednesday,August,In Stock,275.39,0
79,Gloves,Equipment,81.04,0.11,Buy1Get1,415,Winter,52,Male,Suburban,Online,Sunday,September,Out of Stock,39.54,1
80,Gloves,Equipment,285.98,0.24,SeasonalSale,312,Summer,45,Male,Rural,TV,Tuesday,April,In Stock,211.69,1
81,Shorts,Apparel,79.48,0.15,Clearance,115,Summer,26,Male,Rural,In-Store,Tuesday,December,Out of Stock,277.57,0
82,Shirt,Accessories,103.15,0.25,SeasonalSale,314,Spring,51,Female,City,Email,Wednesday,June,Low Stock,34.59,1
83,Ball,Apparel,145.83,0.03,20%Off,391,Winter,63,Male,Suburban,TV,Thursday,February,In Stock,235.31,0
84,Bag,Footwear,151.42,0.05,SeasonalSale,91,Fall,27,Female,Rural,TV,Sunday,December,In Stock,288.19,1
85,Bag,Equipment,58.59,0.1,20%Off,164,Summer,49,Male,Suburban,TV,Tuesday,April,Out of Stock,206.08,1
86,Hat,Footwear,197.23,0.12,None,479,Spring,60,Female,Suburban,Online,Thursday,July,In Stock,77.19,1
87,Ball,Equipment,138.41,0.44,SeasonalSale,319,Spring,59,Male,Rural,Social Media,Thursday,May,Out of Stock,156.98,0
88,Bag,Accessories,294.34,0.31,SeasonalSale,428,Winter,21,Male,Suburban,In-Store,Sunday,October,Low Stock,239.03,0
89,Shirt,Footwear,111.26,0.03,Clearance,321,Spring,40,Male,City,Online,Wednesday,December,Low Stock,28.5,1
90,Bag,Accessories,46.2,0.38,SeasonalSale,439,Winter,32,Female,Rural,Online,Saturday,May,Out of Stock,227.12,1
91,Ball,Accessories,121.97,0.41,20%Off,115,Winter,62,Male,City,Email,Monday,February,In Stock,81.54,0
92,Shoe,Apparel,21.02,0.41,20%Off,459,Winter,59,Male,Suburban,Email,Saturday,January,In Stock,33.38,1
93,Hat,Equipment,249.89,0.41,Buy1Get1,335,Summer,30,Female,City,Social Media,Saturday,March,In Stock,226.74,0
94,Hat,Footwear,265.03,0.39,20%Off,43,Summer,40,Female,Rural,TV,Saturday,January,In Stock,145.35,0
95,Hat,Equipment,278.04,0.2,Buy1Get1,221,Fall,45,Female,City,TV,Tuesday,January,In Stock,281.69,1
96,Shirt,Apparel,178.97,0.13,20%Off,9,Spring,18,Male,Suburban,In-Store,Sunday,September,Low Stock,62.15,0
97,Ball,Accessories,166.9,0.35,Clearance,303,Spring,53,Female,Rural,TV,Monday,August,Out of Stock,276.32,1
98,Ball,Apparel,52.26,0.22,SeasonalSale,239,Summer,60,Male,Rural,Social Media,Wednesday,December,Low Stock,220.77,0
99,Gloves,Equipment,194.8,0.17,20%Off,470,Spring,57,Female,Rural,TV,Monday,December,In Stock,133.57,1
100,Shoe,Accessories,295.36,0.47,Clearance,346,Spring,57,Male,Suburban,Online,Monday,July,Low Stock,120.94,0
101,Bag,Footwear,61.42,0.02,20%Off,464,Summer,54,Male,Suburban,In-Store,Wednesday,June,Out of Stock,162.15,0
102,Shirt,Equipment,145.26,0.41,Buy1Get1,295,Fall,20,Female,City,Social Media,Sunday,February,In Stock,63.55,1
103,Gloves,Apparel,130.45,0.27,SeasonalSale,55,Spring,29,Female,Suburban,Social Media,Thursday,April,Low Stock,93.2,1
104,Shirt,Equipment,69.54,0.49,SeasonalSale,135,Winter,43,Male,Rural,In-Store,Friday,July,In Stock,202.87,0
105,Gloves,Equipment,281.19,0.26,20%Off,360,Fall,51,Female,Suburban,In-Store,Friday,September,Out of Stock,231.85,0
106,Shirt,Accessories,56.4,0.27,20%Off,337,Summer,59,Female,Suburban,In-Store,Friday,December,Out of Stock,223.25,0
107,Hat,Equipment,260.8,0.3,None,3,Fall,48,Male,City,In-Store,Thursday,January,Low Stock,124.99,1
108,Shorts,Footwear,21.8,0.04,Buy1Get1,488,Summer,60,Male,Rural,Email,Saturday,September,In Stock,143.36,0
109,Gloves,Footwear,69.89,0.21,20%Off,121,Summer,38,Male,City,In-Store,Sunday,August,In Stock,104.97,1
110,Shirt,Equipment,12.52,0.46,20%Off,477,Summer,40,Male,City,Social Media,Tuesday,April,Low Stock,143.52,1
111,Bag,Equipment,271.26,0.36,Clearance,269,Fall,58,Male,Rural,Social Media,Friday,September,Low Stock,165.79,0
112,Shoe,Footwear,159.0,0.23,Buy1Get1,32,Fall,40,Male,Rural,In-Store,Monday,June,Out of Stock,247.52,0
113,Shoe,Footwear,127.78,0.13,Clearance,214,Summer,41,Female,Rural,Email,Friday,September,Out of Stock,191.45,1
114,Ball,Equipment,152.96,0.39,SeasonalSale,231,Winter,27,Female,City,In-Store,Sunday,July,In Stock,138.36,1
115,Bag,Footwear,65.16,0.03,SeasonalSale,252,Fall,22,Female,Suburban,TV,Monday,July,Low Stock,232.51,0
116,Shirt,Equipment,215.36,0.3,SeasonalSale,485,Winter,47,Female,Rural,TV,Saturday,August,In Stock,73.49,1
117,Hat,Equipment,148.48,0.03,Buy1Get1,132,Winter,56,Female,Suburban,In-Store,Sunday,November,In Stock,122.35,0
118,Gloves,Footwear,285.29,0.44,Clearance,417,Fall,35,Male,City,Email,Wednesday,April,Low Stock,163.9,0
119,Shorts,Apparel,143.33,0.42,20%Off,484,Summer,38,Female,Rural,Email,Monday,July,Out of Stock,283.62,1
120,Ball,Accessories,180.98,0.08,SeasonalSale,477,Summer,41,Female,Suburban,Social Media,Monday,November,Low Stock,104.21,1
121,Shirt,Equipment,238.66,0.42,Clearance,36,Summer,24,Male,Suburban,Email,Tuesday,June,In Stock,130.59,1
122,Shoe,Accessories,81.57,0.09,None,337,Summer,59,Female,Rural,TV,Saturday,August,In Stock,202.95,1
123,Shirt,Apparel,259.03,0.4,20%Off,488,Spring,19,Female,Rural,Online,Monday,January,Low Stock,285.36,1
124,Bag,Apparel,161.95,0.43,Clearance,213,Fall,50,Male,Rural,TV,Thursday,June,Out of Stock,226.75,0
125,Bag,Accessories,262.93,0.47,SeasonalSale,239,Fall,32,Female,City,Email,Saturday,May,In Stock,172.08,1
126,Shoe,Equipment,114.29,0.44,SeasonalSale,417,Fall,34,Male,Suburban,In-Store,Monday,January,Low Stock,193.75,0
127,Gloves,Equipment,241.57,0.24,SeasonalSale,100,Fall,32,Female,Suburban,Online,Friday,December,In Stock,46.73,0
128,Ball,Equipment,285.31,0.23,Buy1Get1,123,Spring,55,Male,City,Email,Monday,February,In Stock,202.69,1
129,Shirt,Apparel,11.82,0.32,Buy1Get1,227,Spring,20,Female,Rural,Email,Friday,July,In Stock,221.47,0
130,Hat,Accessories,195.01,0.05,20%Off,421,Summer,50,Female,Rural,Email,Friday,September,Low Stock,256.18,0
131,Gloves,Apparel,229.87,0.01,SeasonalSale,325,Summer,48,Male,City,Email,Friday,May,Out of Stock,95.74,0
132,Hat,Accessories,133.39,0.29,Clearance,359,Spring,56,Female,City,Email,Monday,August,Out of Stock,58.32,1
133,Bag,Equipment,113.21,0.17,Buy1Get1,334,Spring,51,Male,Rural,TV,Thursday,December,Out of Stock,32.64,0
134,Ball,Equipment,247.47,0.13,SeasonalSale,44,Summer,32,Female,Suburban,In-Store,Monday,June,Low Stock,239.58,0
135,Ball,Accessories,147.43,0.22,Buy1Get1,25,Winter,38,Male,City,Email,Saturday,November,In Stock,207.04,0
136,Shoe,Footwear,178.8,0.09,SeasonalSale,34,Fall,39,Male,Suburban,TV,Sunday,August,In Stock,12.73,0
137,Gloves,Footwear,286.43,0.03,None,260,Summer,54,Female,Rural,Online,Monday,June,In Stock,17.52,1
138,Hat,Equipment,235.43,0.37,Clearance,328,Spring,64,Female,Rural,In-Store,Thursday,January,Out of Stock,261.93,0
139,Hat,Equipment,155.99,0.17,None,218,Winter,43,Female,City,TV,Monday,September,Low Stock,285.68,1
140,Shoe,Accessories,73.65,0.15,Buy1Get1,330,Winter,52,Male,Rural,Social Media,Monday,May,In Stock,242.38,0
141,Shoe,Accessories,10.29,0.27,None,156,Summer,62,Male,City,In-Store,Friday,February,In Stock,10.13,0
142,Gloves,Footwear,220.42,0.42,SeasonalSale,84,Fall,29,Female,City,In-Store,Thursday,November,Out of Stock,168.1,1
143,Ball,Equipment,240.76,0.07,20%Off,78,Summer,64,Female,Rural,TV,Tuesday,November,In Stock,159.53,1
144,Gloves,Accessories,271.39,0.45,20%Off,480,Spring,37,Male,City,Social Media,Tuesday,June,Low Stock,267.56,0
145,Ball,Footwear,63.52,0.27,20%Off,104,Fall,47,Male,Suburban,Social Media,Tuesday,June,In Stock,50.04,0
146,Gloves,Footwear,135.13,0.13,None,497,Winter,55,Female,Suburban,In-Store,Tuesday,April,Out of Stock,258.5,1
147,Shoe,Footwear,143.41,0.47,20%Off,296,Fall,37,Female,City,Online,Wednesday,July,In Stock,108.01,0
148,Hat,Accessories,295.44,0.42,Clearance,198,Winter,37,Female,City,Social Media,Saturday,July,In Stock,148.82,1
149,Shoe,Apparel,95.66,0.18,Buy1Get1,25,Summer,38,Male,City,TV,Wednesday,September,In Stock,66.15,0
150,Shoe,Footwear,284.25,0.33,20%Off,214,Fall,51,Female,Suburban,Online,Thursday,February,In Stock,233.12,0
151,Bag,Apparel,148.08,0.26,20%Off,348,Summer,22,Female,City,Online,Friday,July,In Stock,196.13,1
152,Shirt,Equipment,25.56,0.42,Clearance,159,Winter,24,Female,Rural,TV,Thursday,June,In Stock,128.66,1
153,Shorts,Apparel,49.5,0.38,20%Off,144,Fall,47,Female,Suburban,Email,Tuesday,January,Low Stock,39.23,1
154,Shoe,Footwear,282.12,0.16,SeasonalSale,17,Fall,34,Female,City,Online,Monday,May,In Stock,132.37,0
155,Bag,Apparel,65.87,0.16,Buy1Get1,159,Winter,21,Male,Rural,Online,Friday,December,Low Stock,147.65,0
156,Shirt,Apparel,96.87,0.25,20%Off,426,Summer,36,Female,City,In-Store,Tuesday,May,Out of Stock,23.42,0
157,Shirt,Footwear,116.51,0.46,None,480,Fall,49,Male,City,TV,Saturday,May,Low Stock,141.67,0
158,Hat,Footwear,262.5,0.21,20%Off,440,Summer,58,Female,Rural,In-Store,Sunday,July,In Stock,177.74,0
159,Hat,Accessories,225.26,0.39,Buy1Get1,281,Summer,48,Female,Rural,In-Store,Monday,January,Low Stock,23.55,1
160,Bag,Accessories,255.27,0.3,Clearance,81,Fall,38,Female,City,Social Media,Thursday,April,Out of Stock,242.4,0
161,Ball,Footwear,296.0,0.3,Clearance,370,Fall,55,Female,Suburban,Social Media,Friday,March,In Stock,265.41,0
162,Shorts,Footwear,54.87,0.44,SeasonalSale,305,Summer,50,Male,City,TV,Friday,January,Low Stock,211.54,1
163,Shoe,Footwear,257.9,0.11,None,221,Fall,40,Male,Rural,Social Media,Wednesday,July,Low Stock,297.47,0
164,Shirt,Accessories,31.31,0.28,20%Off,195,Winter,32,Female,Suburban,Online,Wednesday,June,In Stock,153.06,1
165,Gloves,Footwear,217.82,0.3,Clearance,159,Fall,36,Male,City,Social Media,Friday,November,Low Stock,217.13,0
166,Shirt,Footwear,106.21,0.43,None,178,Winter,52,Female,Rural,Online,Saturday,January,Out of Stock,56.88,0
167,Shoe,Apparel,253.41,0.27,SeasonalSale,492,Winter,30,Male,Suburban,Email,Thursday,May,Out of Stock,164.6,0
168,Shirt,Accessories,116.68,0.14,Buy1Get1,177,Summer,20,Male,Rural,TV,Thursday,September,Out of Stock,34.37,1
169,Shirt,Apparel,37.07,0.37,Buy1Get1,89,Winter,29,Female,Suburban,Email,Wednesday,August,Out of Stock,58.2,1
170,Hat,Accessories,74.43,0.35,Clearance,56,Winter,31,Female,City,Email,Tuesday,October,Out of Stock,193.12,0
171,Shoe,Footwear,212.86,0.34,SeasonalSale,215,Fall,35,Male,Rural,Social Media,Sunday,April,Low Stock,14.31,1
172,Shoe,Equipment,107.68,0.02,Clearance,241,Summer,50,Male,City,TV,Thursday,August,Low Stock,253.43,0
173,Shirt,Equipment,265.61,0.1,20%Off,291,Fall,41,Male,Rural,Social Media,Friday,February,Low Stock,223.83,1
174,Shoe,Equipment,102.67,0.22,SeasonalSale,183,Fall,19,Male,Suburban,In-Store,Thursday,March,Out of Stock,275.29,1
175,Shirt,Apparel,23.0,0.07,Clearance,178,Spring,57,Male,City,Email,Monday,May,Out of Stock,92.36,1
176,Bag,Footwear,16.98,0.18,Clearance,198,Summer,59,Male,Rural,TV,Friday,June,Out of Stock,65.08,0
177,Gloves,Footwear,55.92,0.16,20%Off,447,Spring,40,Male,Rural,TV,Tuesday,June,Out of Stock,60.19,1
178,Gloves,Equipment,108.39,0.04,SeasonalSale,172,Winter,53,Female,Rural,In-Store,Thursday,April,In Stock,117.11,0
179,Gloves,Accessories,190.11,0.16,None,204,Spring,50,Male,Rural,TV,Sunday,June,Low Stock,81.33,0
180,Bag,Equipment,101.71,0.29,Buy1Get1,409,Spring,54,Female,Rural,TV,Monday,September,In Stock,67.11,0
181,Bag,Apparel,106.41,0.07,20%Off,235,Summer,44,Female,Suburban,In-Store,Saturday,June,Low Stock,23.43,1
182,Shorts,Footwear,69.62,0.19,None,357,Spring,39,Male,Rural,Social Media,Monday,May,In Stock,195.3,0
183,Hat,Accessories,212.7,0.2,Clearance,409,Winter,36,Male,City,Social Media,Tuesday,February,Low Stock,205.01,1
184,Hat,Equipment,223.16,0.04,None,202,Winter,31,Male,City,Email,Thursday,June,Out of Stock,20.62,0
185,Shorts,Accessories,186.19,0.09,None,204,Spring,54,Female,Rural,Online,Thursday,December,In Stock,91.6,0
186,Bag,Equipment,246.96,0.34,Clearance,262,Spring,49,Male,City,Social Media,Tuesday,September,Low Stock,185.13,1
187,Shoe,Accessories,296.2,0.03,Clearance,426,Spring,22,Female,Rural,In-Store,Tuesday,January,In Stock,209.22,0
188,Hat,Equipment,238.91,0.31,None,420,Winter,22,Female,City,Social Media,Wednesday,April,In Stock,237.59,0
189,Shoe,Equipment,160.84,0.06,20%Off,423,Fall,32,Male,Suburban,In-Store,Wednesday,January,Out of Stock,68.83,1
190,Shoe,Footwear,276.06,0.48,None,198,Winter,36,Male,Rural,Social Media,Tuesday,June,Low Stock,83.61,0
191,Shoe,Accessories,65.79,0.2,None,94,Summer,31,Female,City,In-Store,Sunday,July,In Stock,186.76,1
192,Shorts,Accessories,35.34,0.36,20%Off,227,Summer,27,Male,City,TV,Thursday,June,Out of Stock,13.23,1
193,Ball,Accessories,122.6,0.5,None,384,Spring,45,Male,Suburban,Online,Thursday,March,Out of Stock,290.13,1
194,Ball,Footwear,161.68,0.43,SeasonalSale,81,Spring,53,Female,City,In-Store,Thursday,July,In Stock,85.04,1
195,Bag,Accessories,249.4,0.13,SeasonalSale,336,Summer,52,Female,City,TV,Monday,October,In Stock,156.85,0
196,Hat,Accessories,140.36,0.41,Buy1Get1,432,Winter,19,Male,City,Social Media,Tuesday,December,In Stock,116.26,1
197,Bag,Apparel,86.48,0.05,SeasonalSale,258,Spring,43,Male,City,In-Store,Thursday,August,In Stock,282.21,1
198,Shirt,Equipment,132.12,0.43,SeasonalSale,135,Winter,23,Female,Rural,Email,Wednesday,April,In Stock,198.53,1
199,Gloves,Equipment,72.85,0.15,Buy1Get1,126,Winter,36,Female,City,TV,Tuesday,September,Low Stock,118.15,0
200,Ball,Accessories,234.8,0.37,SeasonalSale,116,Spring,45,Male,Suburban,In-Store,Thursday,June,Out of Stock,186.02,1
201,Shorts,Accessories,28.76,0.37,SeasonalSale,281,Summer,45,Female,Rural,In-Store,Saturday,November,In Stock,103.22,0
202,Ball,Equipment,127.63,0.16,Buy1Get1,350,Fall,21,Male,Rural,In-Store,Saturday,July,Out of Stock,41.41,1
203,Gloves,Equipment,279.34,0.34,Clearance,97,Fall,57,Male,Suburban,TV,Thursday,June,Low Stock,298.17,1
204,Ball,Footwear,195.99,0.08,Clearance,67,Fall,18,Male,Suburban,TV,Tuesday,September,Out of Stock,65.03,1
205,Shoe,Accessories,199.92,0.12,Buy1Get1,223,Fall,35,Female,Suburban,Email,Thursday,March,Out of Stock,157.57,1
206,Gloves,Equipment,64.37,0.42,Clearance,21,Winter,33,Female,Rural,Email,Tuesday,December,Low Stock,191.04,0
207,Gloves,Equipment,151.15,0.42,Buy1Get1,474,Winter,63,Male,Suburban,Online,Monday,September,Out of Stock,259.93,0
208,Shoe,Apparel,245.96,0.29,Clearance,177,Spring,21,Female,Rural,In-Store,Monday,March,Out of Stock,181.6,1
209,Shorts,Footwear,216.92,0.12,Buy1Get1,115,Winter,27,Male,City,Social Media,Saturday,June,Out of Stock,240.15,0
210,Hat,Footwear,10.94,0.35,SeasonalSale,499,Summer,55,Female,City,Email,Thursday,January,Out of Stock,264.55,0
211,Hat,Apparel,22.5,0.39,Clearance,400,Winter,39,Male,Suburban,In-Store,Saturday,August,Low Stock,184.42,1
212,Hat,Apparel,21.15,0.13,SeasonalSale,388,Spring,39,Male,Suburban,In-Store,Thursday,October,Out of Stock,261.22,0
213,Shorts,Footwear,259.36,0.02,Buy1Get1,254,Spring,23,Male,Suburban,Email,Saturday,June,Low Stock,286.45,1
214,Bag,Accessories,129.38,0.14,Clearance,133,Winter,37,Female,Suburban,Social Media,Thursday,September,Out of Stock,110.25,0
215,Shirt,Footwear,140.74,0.3,SeasonalSale,417,Summer,48,Male,City,Email,Tuesday,November,Low Stock,227.39,1
216,Hat,Footwear,120.96,0.05,SeasonalSale,495,Winter,18,Male,Suburban,Social Media,Wednesday,November,Out of Stock,122.06,0
217,Ball,Accessories,162.78,0.03,None,418,Fall,41,Female,Rural,In-Store,Monday,April,In Stock,223.66,0
218,Shirt,Footwear,296.74,0.01,SeasonalSale,206,Winter,49,Female,Rural,Email,Thursday,January,In Stock,219.58,0
219,Gloves,Equipment,167.55,0.15,Clearance,481,Fall,60,Female,Rural,TV,Thursday,July,Out of Stock,158.19,1
